thisDate,branch name,new files,existing files,Total files
12/5/2022,BULAWAYO,8,12,20
12/6/2022,BULAWAYO,8,17,25
12/7/2022,BULAWAYO,4,17,21
12/8/2022,BULAWAYO,9,12,21
12/9/2022,BULAWAYO,5,14,19
12/10/2022,BULAWAYO,7,12,19
12/11/2022,BULAWAYO,5,11,16
12/12/2022,BULAWAYO,4,9,13
12/13/2022,BULAWAYO,7,9,16
12/14/2022,BULAWAYO,8,9,17
12/15/2022,BULAWAYO,10,14,24
12/16/2022,BULAWAYO,4,19,23
12/17/2022,BULAWAYO,6,16,22
12/18/2022,BULAWAYO,6,15,21
12/19/2022,BULAWAYO,6,14,20
12/20/2022,BULAWAYO,9,15,24
12/21/2022,BULAWAYO,9,11,20
12/22/2022,BULAWAYO,11,11,22
12/23/2022,BULAWAYO,6,14,20
12/24/2022,BULAWAYO,2,12,14
12/25/2022,BULAWAYO,8,10,18
12/26/2022,BULAWAYO,9,14,23
12/27/2022,BULAWAYO,8,18,26
12/28/2022,BULAWAYO,16,17,33
12/29/2022,BULAWAYO,5,22,27
12/30/2022,BULAWAYO,8,17,25
12/31/2022,BULAWAYO,5,12,17
1/1/2022,CHEGUTU,1,1,2
1/3/2022,CHEGUTU,1,1,2
1/8/2022,CHEGUTU,3,0,3
1/12/2022,CHEGUTU,2,0,2
1/13/2022,CHEGUTU,1,2,3
1/15/2022,CHEGUTU,1,0,1
1/17/2022,CHEGUTU,1,0,1
1/18/2022,CHEGUTU,1,0,1
1/20/2022,CHEGUTU,1,1,2
1/22/2022,CHEGUTU,1,1,2
1/25/2022,CHEGUTU,1,0,1
1/31/2022,CHEGUTU,1,0,1
2/1/2022,CHEGUTU,1,1,2
2/8/2022,CHEGUTU,1,0,1
2/9/2022,CHEGUTU,1,0,1
2/13/2022,CHEGUTU,1,0,1
2/21/2022,CHEGUTU,1,0,1
2/22/2022,CHEGUTU,1,1,2
2/27/2022,CHEGUTU,1,0,1
3/1/2022,CHEGUTU,2,2,4
3/2/2022,CHEGUTU,1,2,3
3/3/2022,CHEGUTU,1,1,2
3/5/2022,CHEGUTU,1,0,1
3/6/2022,CHEGUTU,1,1,2
